Number,Address,List Date,Price,Days on market,Total floor area,Year Built,Age,Lot Size
112,230 PEVERIL AVENUE,9/11/2019,2500000,64,2181,1942,77,5893
113,275 E 28TH AVENUE,11/18/2019,2068000,8,3657,1914,105,4268.88
114,7823 SHAUGHNESSY STREET,1/12/2020,2025000,21,2360,1994,26,3964.23
115,3437 E 24TH AVENUE,6/26/2019,1125000,25,1499,1912,107,3959
116,2244 W 45TH AVENUE,10/10/2019,1940000,7,3010,1915,104,3960
117,3636 W 15TH AVENUE,3/16/2020,1480000,41,1005,1987,33,2013.17
118,7806 JASPER CRESCENT,1/15/2020,1550000,1,2860,1990,30,4658
119,2813 W 21ST AVENUE,3/20/2019,2480000,183,2923,1994,25,4880
120,1188 KOOTENAY STREET,10/21/2019,1361500,44,2065,1995,25,3348
121,1765 ISLAND AVENUE,5/14/2019,862500,119,1800,1991,28,3418
122,3441 TRIUMPH STREET,8/6/2019,1150000,57,1967,1928,91,4026
123,4818 RUPERT STREET,10/15/2019,1350000,0,2099,1999,20,3498
124,6643 VIVIAN STREET,4/5/2019,2361905,91,3906,2018,1,4800
125,2835 STEPHENS STREET,6/3/2019,1750000,5,2385,1912,107,2871
126,2201 E 41ST AVENUE,11/29/2019,1516789,46,2000,1944,76,5107
127,3468 PANDORA STREET,2/26/2020,1200000,14,2033,1911,109,4026
128,539 W 18TH AVENUE,6/25/2019,2548000,34,2170,2011,8,3015.87
129,4014 W 36TH AVENUE,10/21/2019,2900000,58,3715,1940,79,6900.6
130,1346 E 15TH AVENUE,8/9/2019,1150000,21,1504,1975,44,2047
131,3221 KITCHENER STREET,10/11/2019,1649000,59,2465,1983,36,4191
132,3468 WORTHINGTON DRIVE,7/8/2019,1588000,8,2369,1999,20,4510
133,3555 ST. CATHERINES STREET,6/18/2019,1998000,5,1701,1989,30,3050
134,3838 INVERNESS STREET,1/21/2019,1120000,327,2230,1911,108,2830.58
135,165 W 22ND AVENUE,1/13/2020,2985000,12,3275,1960,60,4026
136,3279 W 11TH AVENUE,6/24/2019,2030000,152,3107,1928,91,4029
137,3451 QUEBEC STREET,9/30/2019,1415000,7,1584,1905,114,1600
138,7225 HUDSON STREET,9/17/2019,3000000,55,3503,1987,32,13078
139,4285 ST. GEORGE STREET,2/3/2020,1690000,7,2391,1979,41,3994.5
140,4468 ONTARIO STREET,1/21/2020,2650000,20,3011,2017,3,3422.13
141,500 E 11TH AVENUE,2/10/2020,1910000,10,3611,1902,118,4026
142,3145 E 50TH AVENUE,2/25/2019,2440000,158,3777,2014,5,5417
143,719 E 38 AVENUE,2/18/2020,1150000,1,2746,1977,43,4026
144,554 W 59TH AVENUE,10/11/2019,1800000,62,2508,1957,62,6776.02
145,108 W 45TH AVENUE,8/9/2019,1815000,152,1321,1945,75,4535
146,3285 KITCHENER STREET,5/9/2019,1825000,39,3664,1974,45,6287
147,3320 E 44TH AVENUE,9/7/2019,1150000,126,1784,1912,108,3807
148,2244 E PENDER STREET,9/9/2019,1180000,17,1798,1912,107,2178
149,3122 E 47TH AVENUE,3/2/2019,1090000,289,1891,1958,61,3395.7
150,2806 ETON STREET,1/21/2019,1835000,247,3613,1951,68,6100
151,1121 E 27TH AVENUE,9/9/2019,1380000,4,1906,1991,28,2966.95
152,5204 CHESTER STREET,3/12/2020,2299000,29,3142,2018,2,3630
153,5583 FLEMING STREET,3/2/2020,1380000,9,2250,1953,67,5346
154,268 E 48TH AVENUE,11/14/2019,2415000,40,3870,2014,6,4620
155,757 PRIOR STREET,3/13/2020,1848000,55,3059,1905,115,3302.5
156,1319 E 29TH AVENUE,3/23/2020,1715000,4,2213,1962,58,3960
157,3044 GLEN DRIVE,3/19/2020,1574000,47,2868,1912,108,3960
158,3236 E 47TH AVENUE,2/17/2020,1290000,11,2209,1971,49,3382.5
159,1233 VICTORIA DRIVE,7/4/2019,1665000,22,2609,1912,107,3267
160,6174 BEATRICE STREET,1/21/2020,1300000,7,2418,1962,58,3877.5
161,870 W 61ST AVENUE,5/14/2019,1915000,128,2117,1987,32,3660
162,3438 ST. GEORGE STREET,1/7/2020,2050000,14,1801,2016,4,3019.5
163,5163 ELGIN STREET,2/27/2020,2300000,68,2251,2019,1,3234
164,2270 SW MARINE DRIVE,3/10/2020,2685000,70,3490,1955,65,15983
165,6515 KERR STREET,7/29/2019,1355000,14,2385,1959,60,5385
166,2930 CHARLES STREET,11/11/2019,2175000,58,3658,2019,1,4191
167,2957 E BROADWAY,2/10/2020,1748000,4,2420,2006,14,4999.5
168,4756 ARGYLE STREET,9/24/2019,1425000,15,2591,1945,75,6070
169,1344 E 41ST AVENUE,7/9/2019,1168000,80,1812,1959,60,3135
170,760 E 63RD AVENUE,9/5/2019,1150000,35,2505,1945,74,4145.57
171,2385 W 16TH AVENUE,5/22/2020,2550000,6,3294,1940,80,6250
172,3467 FRANKLIN STREET,2/24/2020,1235000,18,1974,1929,91,4026
173,2895 ALAMEIN AVENUE,3/23/2020,2955000,39,2588,1993,27,4171.75
174,3266 E PENDER STREET,6/19/2019,1300000,120,2498,2007,12,5425
175,557 E 11TH AVENUE,2/18/2020,2255000,7,3089,1910,110,4026
176,761 E 55TH AVENUE,6/20/2019,1575000,4,2684,1985,34,3950
177,2442 E 10TH AVENUE,2/24/2020,1762000,1,2620,1968,52,6400
178,2720 WATERLOO STREET,5/31/2019,1867000,10,2506,1925,94,3960
179,1087 PARK DRIVE,5/2/2019,2175000,88,3414,1912,107,5640
180,2161 W 48TH AVENUE,2/24/2020,2800000,38,2871,1924,96,5900
181,8141 LAUREL STREET,5/6/2019,2090000,243,3000,1951,69,6035.04
182,5284 ELGIN STREET,2/25/2020,1270000,10,1834,1934,86,3300
183,488 AUBREY PLACE,5/9/2019,1675000,103,2074,1960,59,5311
184,3337 WORTHINGTON DRIVE,9/25/2019,2140000,7,3445,2012,7,4900
185,2949 W 28TH AVENUE,3/23/2020,2610000,62,2441,2014,6,3328
186,5569 COMMERCIAL STREET,6/4/2019,1371100,36,2603,1982,37,4052
187,6272 BUTLER STREET,5/15/2020,1638000,5,1918,1948,72,5283.23
188,716 E 11TH AVENUE,11/25/2019,1700000,7,3597,1908,111,4026
189,2127 E 46TH AVENUE,12/11/2019,2195000,108,3540,2019,1,4026
190,4675 NANAIMO STREET,9/10/2019,1500000,82,2206,1967,52,4760.3
191,990 E 11TH AVENUE,5/2/2019,1390000,84,3100,1926,93,4026
192,1724 MCSPADDEN AVENUE,4/1/2020,1480000,6,2110,1911,109,2500
193,3425 E GEORGIA STREET,10/11/2019,1225000,19,2324,1971,48,3850
194,3539 HULL STREET,12/18/2019,1325000,6,2400,1918,102,4270
195,8361--8365 CARTIER STREET,10/31/2019,1750000,4,2414,1977,42,4052.4
196,2275 SLOCAN STREET,7/4/2019,2150000,55,3453,2019,0,4026
197,2020 NANTON AVENUE,3/17/2020,3000000,14,3329,1964,56,7200
198,2775 WARD STREET,8/8/2017,1150000,719,1700,1932,87,3366
199,3809 W KING EDWARD AVENUE,11/4/2019,2480000,3,2925,1929,90,6039
200,2428 FRANKLIN STREET,3/13/2020,1000000,23,938,1922,98,4027.32
201,1589 E 35TH AVENUE,3/16/2020,1520000,7,2182,1995,25,3630
202,2688 E 57TH AVENUE,11/5/2019,2171428,30,3491,2019,0,4062
203,2810 MCGILL STREET,9/11/2019,1218000,5,1976,1930,89,4022
204,2217 E 48TH AVENUE,8/12/2019,1398888,8,2497,1973,46,4026
205,1810 W 61ST AVENUE,9/30/2019,2388000,120,3146,1967,53,7670
206,407 E KING EDWARD AVENUE,4/15/2020,1575000,5,1912,1910,110,2188
207,1304 E 36TH AVENUE,7/16/2019,1750000,124,3082,2017,2,3657
208,2180 RENFREW STREET,8/12/2019,1025000,207,3108,1946,74,4026
209,5824 CHESTER STREET,9/23/2019,1150000,1,1547,1929,90,4026
210,2326 W 45TH AVENUE,7/5/2019,2258000,38,2814,1971,48,4080
211,285 E 18TH AVENUE,3/13/2020,1818000,8,2369,1913,107,6032.56
212,6388 GRANVILLE STREET,5/29/2019,2228000,30,3363,1945,74,7750
213,2864 E 22ND AVENUE,4/29/2019,1155000,71,2007,1961,58,3960
214,3588 W 28TH AVENUE,9/3/2019,2150000,10,2767,1935,84,6495
215,6905 DUMFRIES STREET,10/22/2019,1415000,21,2474,1972,47,4011.48
216,2136 FRANKLIN STREET,10/29/2019,1225000,9,2142,1913,106,4199.24
217,541 E 28TH AVENUE,6/17/2019,1840000,7,2232,1964,55,4727.25
218,2135 E 2ND AVENUE,7/2/2019,1330000,23,2098,1958,61,4026
219,3166 E 1ST AVENUE,9/12/2019,1288000,12,2705,1975,44,4224.35
220,2375 BURQUITLAM DRIVE,3/19/2019,1888000,136,3867,2005,14,6435
221,2077 WAVERLEY AVENUE,6/17/2019,1228000,13,2716,1982,37,3696
222,4728 LITTLE STREET,6/17/2019,900000,31,1700,1930,89,3280
223,3804 W 22ND AVENUE,5/5/2020,2470000,4,2450,1926,94,4026
224,716 CASSIAR STREET,1/14/2020,1010000,9,2032,1933,87,4026
225,3385 ANZIO DRIVE,5/6/2020,1865000,13,3231,2004,16,4950
226,1767 W 61ST AVENUE,6/26/2019,2830000,12,3894,1992,27,6500
227,5968 KNIGHT STREET,3/18/2020,1199000,5,2666,1965,55,5063
228,3693 DUNDAS STREET,11/12/2019,1710000,132,2457,1927,93,3818.6
229,2147 E PENDER STREET,2/18/2020,1851000,6,2580,1912,108,3019.5
230,1582 W 68TH AVENUE,9/3/2019,2012000,27,2361,1992,27,3828
231,601 W 22ND AVENUE,6/18/2019,2700000,52,2195,1911,108,4350.52
232,4615 W 15TH AVENUE,6/17/2019,2248000,26,2468,1987,32,4026
233,4228 W 10TH AVENUE,2/5/2020,1885000,8,2317,1927,93,4026
234,6276 BROOKS STREET,7/24/2019,1950000,44,3900,1991,28,5245
235,3055 WATERLOO STREET,6/17/2019,1999999,4,2065,1947,72,3696
236,5622 CULLODEN STREET,3/17/2020,1450000,49,1668,1948,72,5384
237,2327 COLLINGWOOD STREET,1/31/2020,1900000,19,2644,1912,108,2400
238,3140 WATERLOO STREET,4/15/2020,2650000,23,2958,2004,16,3696
239,14 W 14TH AVENUE,8/26/2019,1445000,73,2425,1910,109,3267
240,1929 W 45TH AVENUE,3/13/2019,2880000,213,3749,1927,92,6725
241,3399 PRICE STREET,6/19/2019,2070000,5,3573,2018,1,4160
242,3390 E 49TH AVENUE,10/15/2018,1275000,305,2990,1958,61,5200.8
243,290 NIGEL AVENUE,2/10/2020,2556000,16,3000,1990,30,4980
244,3692 TURNER STREET,9/12/2019,1450000,91,2229,2004,15,4048
245,3120 ST. CATHERINES STREET,6/18/2019,1856500,8,3100,1925,94,4275.4
246,3079 W 6TH AVENUE,9/4/2019,2350000,6,2417,1929,90,3599.64
247,2645 E 7TH AVENUE,2/19/2020,1302000,0,834,1928,92,4026
248,3562 W 5TH AVENUE,10/21/2019,2200000,52,2663,1912,107,3300
249,6950 INVERNESS STREET,9/20/2019,2250000,23,3550,2018,1,4026
250,1637 W 62ND AVENUE,2/26/2020,2430000,20,3313,1927,93,6500
251,2047 E 25TH AVENUE,11/28/2019,1298000,15,1925,1955,65,3778.5
252,2995 W 14TH AVENUE,10/2/2019,2383325,2,2121,1928,92,4831.2
253,4499 NANAIMO STREET,10/9/2019,1415000,105,2410,1992,28,4026
254,2421 EDDINGTON DRIVE,7/8/2019,2860000,119,4263,1990,29,7222
255,922 E 51ST AVENUE,5/10/2019,1870000,139,3078,1997,22,5124
256,3330 W 23RD AVENUE,7/9/2019,2318888,63,2200,1991,28,4026
257,6770 SHERBROOKE STREET,2/25/2020,2190476,12,3559,2019,1,3936
258,3256 GRANT STREET,3/8/2020,1550000,2,2386,1964,56,4158
259,4752 VICTORIA DRIVE,9/16/2019,1264300,161,1600,1929,91,3136
260,941 E 64TH AVENUE,8/21/2019,1808000,114,2876,2013,7,4113.18
261,958 E 38TH AVENUE,10/18/2019,2556000,7,3456,2019,0,4026
262,2079 W 46TH AVENUE,10/1/2019,2378000,67,2731,1924,95,6750
263,6172 PRINCE ALBERT STREET,11/29/2019,1365000,0,1733,1953,66,4026
264,3035 CHARLES STREET,9/30/2019,1260000,7,1918,1981,38,3268.6
265,4183 ST. GEORGE STREET,8/6/2019,1310000,39,1927,1912,107,3600
266,7188 STIRLING STREET,3/4/2020,2274200,27,3529,2010,10,5040
267,2760 WATERLOO STREET,2/29/2020,2830000,10,2625,2007,13,3267
268,4430 W 7TH AVENUE,2/17/2020,2348500,57,2582,1938,82,3715.8
269,1661 E 35TH AVENUE,2/28/2019,1100000,112,2212,1950,69,3630
270,4538 SOPHIA STREET,2/24/2020,1629000,16,2481,1910,110,3603.6
271,2733 FRASER STREET,10/15/2019,1720000,21,2808,1913,106,2646
272,3478 W 36TH AVENUE,9/9/2019,2800000,0,2823,1926,93,6512
273,62 W 63RD AVENUE,2/12/2020,1990000,2,2353,1988,32,3957
274,3577 PRICE STREET,1/22/2020,1190000,123,1672,1956,64,4570.5
275,2375 E 37TH AVENUE,4/10/2019,1290000,76,2520,1955,64,3916
276,304 E 37TH AVENUE,3/30/2020,1650000,30,2034,1931,89,3936.4
277,1404 W 64TH AVENUE,7/2/2019,1520000,22,1980,1951,68,3799
278,3320 E 29TH AVENUE,5/7/2019,1368888,80,2005,2002,17,3731
279,1819 E 6TH AVENUE,11/4/2019,1325000,10,1058,1945,74,2500
280,1666 SW MARINE DRIVE,8/14/2019,2300000,39,5615,1949,70,11700
281,2521 NAPIER STREET,9/16/2019,983000,9,1480,1930,89,3564
282,1225 EAST 35TH AVENUE,8/16/2019,1200000,4,1974,1978,41,3214.53
283,4778 FLEMING STREET,10/5/2019,1400000,13,2564,1986,33,4042.5
284,6350 ALMA STREET,2/20/2019,2010000,143,2838,1971,48,6825
285,3138 E 16TH AVENUE,5/1/2019,1430000,108,2548,1966,53,4811.45
286,3573 TANNER STREET,7/2/2019,1088000,4,1674,1930,89,3960
287,1718 LAKEWOOD DRIVE,5/9/2019,1650000,48,2682,1968,51,4026
288,837 KEEFER STREET,7/15/2019,2051000,8,2915,1901,118,3050
289,4023 W 15TH AVENUE,4/24/2019,2300000,108,1930,1928,91,4023.36
290,3468 NORMANDY DRIVE,9/8/2019,1437000,15,2840,1977,42,4510
291,4335 JOHN STREET,4/16/2020,1790000,23,1660,1910,110,3678
292,2817 W 29TH AVENUE,9/3/2019,2430000,12,2587,1988,31,4296
293,2986 E 42ND AVENUE,1/17/2020,2200000,9,3211,2008,12,4880
294,3494 W 22ND AVENUE,1/22/2020,2241000,7,2421,1970,50,4026
295,2539 E GEORGIA STREET,10/15/2019,1155000,18,1484,1913,106,3547.5
296,225 E 57 AVENUE,9/10/2019,1560000,94,3098,1960,59,4322
297,4206 BEATRICE STREET,10/10/2019,1538100,10,3075,1920,99,3996
298,1765-1767 E 15TH AVENUE,4/8/2019,1350000,78,2525,1911,108,4026
299,531 E 18TH AVENUE,5/5/2020,1449000,3,2349,1959,61,4026
300,2676 E 4TH AVENUE,3/18/2020,1400000,15,1953,1942,78,4026
301,425 E 63RD AVENUE,11/21/2019,1440000,16,2198,1961,58,5034
302,6720 INVERNESS STREET,7/15/2019,1210000,6,1880,1956,63,4092
303,2031 COLLINGWOOD STREET,10/25/2019,2025000,6,3185,1912,107,3600
304,8221 CARTIER STREET,5/6/2020,1713000,6,1831,1927,93,4026
305,4544 W 13TH AVENUE,5/12/2020,2350000,7,2694,1930,90,4026
306,3296 E 6TH AVENUE,10/18/2019,1390000,13,2600,1983,36,4026
307,8078 HAIG STREET,9/17/2019,2300000,2,3206,2019,0,3846
308,2525 W 8TH AVENUE,2/28/2020,2800000,10,2658,1922,98,6000
309,3537 DUNDAS STREET,9/30/2019,1125000,22,1974,1952,67,4026
310,7061 CYPRESS STREET,5/29/2019,3000000,24,3602,1928,91,8580
311,2148 GRAVELEY STREET,7/12/2019,2170000,7,2549,1911,108,4026
312,3116 W 3RD AVENUE,8/22/2019,2300000,7,3228,1937,82,3951.75
313,2782 E 48TH AVENUE,11/19/2019,1780000,48,3300,1955,65,6545
314,5507 CHAMBERS STREET,3/9/2020,1880000,7,2878,2007,13,4998
315,1665 LILLOOET STREET,1/21/2019,815000,134,400,1968,51,3842
316,7749 MUNROE CRESCENT,4/27/2020,1580000,3,2895,1973,47,6325
317,2331 E 6TH AVENUE,8/19/2019,1899000,6,2433,1924,95,4026
318,3164 E 46TH AVENUE,9/30/2019,1130000,15,1709,1962,57,3366
319,1943 NAPIER STREET,12/4/2019,2200000,5,3100,1909,110,4026
320,948 W 22ND AVENUE,7/10/2019,2118000,90,2494,1939,80,4026
321,3150 GRANT STREET,12/10/2019,1495000,28,1626,1946,74,5080
322,2748 DUNDAS STREET,3/3/2020,1608000,6,2763,1926,94,5856
323,4703 COMMERCIAL STREET,4/15/2020,1333000,7,2130,1963,57,4092
324,2712 WAVERLEY AVENUE,10/15/2019,1590000,3,2571,1962,57,4867.8
325,2128 W 21ST AVENUE,4/27/2020,2760000,0,1616,1930,90,6100
326,3815 W 31ST AVENUE,10/17/2019,2160000,5,2911,1935,84,4293.31
327,125 E 53RD AVENUE,8/22/2019,2388000,8,3493,1991,28,5856
328,3025 WATERLOO STREET,4/14/2020,2250000,10,2259,1990,30,3696
329,5149 FAIRMONT STREET,12/6/2019,1335000,58,1845,1999,21,3267
330,82 E 45TH AVENUE,8/6/2019,1880000,8,2460,1957,62,4032
331,3333 VENABLES STREET,4/6/2020,1357000,25,1993,1999,21,3547.5
332,189 W 46TH AVENUE,4/8/2019,2060000,58,3078,1986,33,5160
333,369 E 34TH AVENUE,2/14/2020,1319000,10,1809,1910,110,3481.5
334,1222 E 61ST AVENUE,7/15/2019,1526000,20,2142,2003,16,3762
335,265 E 36TH AVENUE,4/9/2019,1340000,93,2154,1961,58,3902
336,495 E 61ST AVENUE,2/17/2020,1175000,9,1754,1954,66,3536.57
337,3875 LILLOOET STREET,5/31/2019,1150000,39,1864,1946,73,4120.5
338,125 E 22ND AVENUE,2/18/2020,2000000,6,2179,1905,115,3904
339,7642 OSLER STREET,4/22/2020,1661000,5,1678,1945,75,4356
340,4331 MILLER STREET,6/18/2019,999999,165,1445,1925,94,2788
341,3536 WORTHINGTON DRIVE,2/10/2020,2420000,24,3856,2019,1,4513
342,3962 W 30TH AVENUE,9/19/2019,2898000,6,734,1929,90,6500
343,3454 E 4TH AVENUE,8/20/2019,2060000,5,2908,2018,1,4094.64
344,2496 E 3RD AVENUE,10/17/2019,1850000,5,2466,2003,16,4026
345,92 MALTA PLACE,2/8/2019,1300000,118,1680,1948,71,10287
346,557 E 56TH AVENUE,7/3/2019,1175000,25,2944,1912,107,3564
347,165 E 55TH AVENUE,8/13/2018,1370000,338,1950,1952,67,3882.88
348,3276 E 2ND AVENUE,10/18/2019,1308000,20,1585,1951,68,4960.4
